date,client,transportation_mode,revenue_usd,cost_usd,profit_usd,margin_percent
2022-01-04 15:37:47,Noble Associates,SEA,2320.36,2188.6,247.05,10.65
2022-01-17 22:42:02,Advanced Systems,SEA,9650.86,8643.69,431.47,4.47
2022-01-19 05:37:59,Alfa Resources,SEA,1026.93,727.15,175.58,17.1
2022-01-16 05:33:26,Eternal Alliance,SEA,6312.09,5698.86,387.15,6.13
2022-01-04 23:42:46,Core Dynamics,SEA,17951.05,16542.72,270.96,1.51
2022-01-13 15:59:57,Noble Associates,SEA,2834.89,3063.06,140.04,4.94
2022-01-16 23:19:25,Eternal Capital,ROAD,1994.62,1871.02,107.15,5.37
2022-01-09 02:41:26,Brilliant Enterprises,SEA,5695.86,6013.76,639.77,11.23
2022-01-27 00:50:48,United Associates,ROAD,2180.08,2399.83,121.1,5.55
2022-01-17 18:50:56,Premier Resources,SEA,12145.27,10061.16,775.65,6.39
2022-01-23 14:07:08,Premier Resources,SEA,6384.52,5220.01,383.22,6.0
2022-01-13 05:44:23,Core Strategy,ROAD,2265.91,2067.88,223.61,9.87
2022-01-20 00:06:24,Active Management,ROAD,1038.18,1033.24,60.93,5.87
2022-01-03 07:02:54,Infinite Capital,ROAD,1799.38,1627.74,108.77,6.04
2022-01-18 12:05:37,Infinite Capital,ROAD,1993.65,1616.72,114.73,5.75
2022-01-22 04:47:32,Infinite Capital,ROAD,1657.36,1807.82,115.47,6.97
2022-01-02 14:33:27,Ambitious Connections,ROAD,1578.3,1554.44,231.08,14.64
2022-01-17 03:04:27,Ambitious Connections,ROAD,1699.09,1282.08,205.85,12.12
2022-01-07 15:06:39,Ambitious Connections,ROAD,1690.47,1294.73,219.79,13.0
2022-01-01 03:09:32,Noble Associates,SEA,8910.1,7194.61,612.39,6.87
2022-01-17 19:00:56,Infinite Capital,ROAD,1597.48,1793.9,109.53,6.86
2022-01-01 21:42:19,Elite Technologies,ROAD,1431.61,1402.16,117.62,8.22
2022-01-17 04:04:31,Elite Technologies,ROAD,1608.85,1284.29,114.67,7.13
2022-01-24 09:12:23,Dynamic Connections,SEA,794.36,731.9,107.46,13.53
2022-01-28 07:06:45,Premier Networks,ROAD,992.17,1103.18,78.93,7.96
2022-01-12 14:31:49,Premier Networks,ROAD,1163.72,921.33,72.9,6.26
2022-01-09 08:29:57,Premier Networks,ROAD,997.92,988.5,86.22,8.64
2022-01-28 13:17:37,Premier Networks,ROAD,1032.05,1111.16,77.03,7.46
2022-01-06 10:56:01,Premier Networks,ROAD,1106.18,960.06,83.51,7.55
2022-01-07 15:46:00,Dynamic Connections,SEA,781.01,673.09,156.62,20.05
2022-01-08 21:48:08,Premier Partners,ROAD,2179.29,1886.33,101.17,4.64
2022-01-11 20:50:04,Sharp Foundation,ROAD,1188.3,939.95,52.57,4.42
2022-01-28 19:47:18,Core Strategy,ROAD,2806.12,2305.92,112.35,4.0
2022-01-12 07:55:50,Pioneer Partners,ROAD,1560.33,1501.94,158.28,10.14
2022-01-25 07:52:30,Advanced Systems,SEA,5438.6,5704.3,469.36,8.63
2022-01-15 04:16:56,Eternal Capital,ROAD,1596.64,1439.95,313.46,19.63
2022-01-22 20:49:54,Epic Holdings,SEA,6896.19,5808.82,683.13,9.91
2022-01-25 20:40:48,United Partners,RAIL,1566.94,1648.6,126.71,8.09
2022-01-22 09:53:49,Ambitious Connections,ROAD,1393.51,1282.56,156.06,11.2
2022-01-22 04:32:44,Elite Technologies,ROAD,2626.93,2921.05,193.17,7.35
2022-01-05 13:23:12,Ambitious Connections,ROAD,1492.04,1494.29,33.33,2.23
2022-01-15 14:08:26,Ambitious Connections,ROAD,1515.08,1380.87,234.15,15.45
2022-01-03 04:14:01,Advanced Enterprises,ROAD,849.81,604.68,181.0,21.3
2022-01-27 20:54:27,Prime Zone,ROAD,9468.7,8914.24,536.52,5.67
2022-01-23 04:36:01,Infinite Capital,ROAD,1787.05,1648.01,107.95,6.04
2022-01-20 03:12:39,Eternal Capital,ROAD,1741.52,1479.9,180.53,10.37
2022-01-13 08:09:31,Infinite Capital,ROAD,2186.08,1499.6,414.31,18.95
2022-01-18 04:56:52,Dynamic Networks,ROAD,4086.83,3655.7,116.28,2.85
